Date,Predicted,CI_Lower,CI_Upper,Signal
2025-07-01,107135.33593749991,101834.84770455875,112711.71377150432,Hold
2025-07-02,107135.33593749991,99716.87874991594,115105.69073493624,Hold
2025-07-03,107135.33593749991,98121.62079339943,116977.07511995231,Hold
2025-07-04,107135.33593749991,96796.5992713791,118578.34152066929,Hold
2025-07-05,107135.33593749991,95644.06600851487,120007.23814291952,Hold
2025-07-06,107135.33593749991,94613.91220013695,121313.87382187061,Hold
2025-07-07,107135.33593749991,93676.38398804973,122528.0024462217,Hold
2025-07-08,107135.33593749991,92812.10352001601,123669.00189871895,Hold
2025-07-09,107135.33593749991,92007.61671486124,124750.32629105166,Hold
2025-07-10,107135.33593749991,91253.13195782647,125781.76726849902,Hold
2025-07-11,107135.33593749991,90541.26054587172,126770.71356462693,Hold
2025-07-12,107135.33593749991,89866.26465198486,127722.90303697903,Hold
2025-07-13,107135.33593749991,89223.58323571557,128642.89675654277,Hold
2025-07-14,107135.33593749991,88609.5198027171,129534.39124820766,Hold
2025-07-15,107135.33593749991,88021.0292112731,130400.4316842383,Hold
2025-07-16,107135.33593749991,87455.56763843908,131243.56191813314,Hold
2025-07-17,107135.33593749991,86910.98424167054,132065.9328229964,Hold
2025-07-18,107135.33593749991,86385.44117358454,132869.38227677613,Hold
2025-07-19,107135.33593749991,85877.35337724816,133655.4953669761,Hold
2025-07-20,107135.33593749991,85385.34249370305,134425.650483131,Hold
2025-07-21,107135.33593749991,84908.20103838408,135181.05514038814,Hold
2025-07-22,107135.33593749991,84444.86418194779,135922.77419867847,Hold
2025-07-23,107135.33593749991,83994.38725138448,136651.75236160518,Hold
2025-07-24,107135.33593749991,83555.92759527513,137368.83231118615,Hold
2025-07-25,107135.33593749991,83128.72982134223,138074.76947030335,Hold
2025-07-26,107135.33593749991,82712.1136703002,138770.24412885253,Hold
2025-07-27,107135.33593749991,82305.46397260448,139455.87148699418,Hold
2025-07-28,107135.33593749991,81908.22226694546,140132.2100366591,Hold
2025-07-29,107135.33593749991,81519.87975640003,140799.7686053976,Hold
2025-07-30,107135.33593749991,81139.97135029735,141459.0123145132,Hold
