Date,Predicted,CI_Lower,CI_Upper,Signal
2025-07-01,506.02905273437483,467.19874041431297,548.0866707478049,Hold
2025-07-02,506.02905273437483,452.0009099788029,566.5152360495407,Hold
2025-07-03,506.02905273437483,440.67527816888446,581.0750339235371,Hold
2025-07-04,506.02905273437483,431.3480840940139,593.6398274471953,Hold
2025-07-05,506.02905273437483,423.294379546253,604.9345670163066,Hold
2025-07-06,506.02905273437483,416.14277666098735,615.3306426843343,Hold
2025-07-07,506.02905273437483,409.6728925750724,625.0484395042681,Hold
2025-07-08,506.02905273437483,403.7412893316404,634.2313976238183,Hold
2025-07-09,506.02905273437483,398.2484405031835,642.9790456623315,Hold
2025-07-10,506.02905273437483,393.12195817227786,651.3637737300676,Hold
2025-07-11,506.02905273437483,388.3072529117291,659.4401734480557,Hold
2025-07-12,506.02905273437483,383.76195873547715,667.250612997188,Hold
2025-07-13,506.02905273437483,379.4524195121542,674.828750704663,Hold
2025-07-14,506.02905273437483,375.35137551540345,682.2018484936668,Hold
2025-07-15,506.02905273437483,371.4363842655241,689.392351041729,Hold
2025-07-16,506.02905273437483,367.68870950859036,696.4189968016035,Hold
2025-07-17,506.02905273437483,364.09251917533203,703.2976200423885,Hold
2025-07-18,506.02905273437483,360.63429340288695,710.0417428277742,Hold
2025-07-19,506.02905273437483,357.3023790754281,716.6630204754168,Hold
2025-07-20,506.02905273437483,354.0866488750887,723.1715825060126,Hold
2025-07-21,506.02905273437483,350.97823636458213,729.576297560679,Hold
2025-07-22,506.02905273437483,347.96932736150836,735.884982026649,Hold
2025-07-23,506.02905273437483,345.0529936481292,742.1045663274947,Hold
2025-07-24,506.02905273437483,342.22305897304125,748.2412289214573,Hold
2025-07-25,506.02905273437483,339.4739900004298,754.3005053521907,Hold
2025-07-26,506.02905273437483,336.80080675800957,760.2873778008227,Hold
2025-07-27,506.02905273437483,334.1990084873245,766.2063492356555,Hold
2025-07-28,506.02905273437483,331.6645117795028,772.0615052764106,Hold
2025-07-29,506.02905273437483,329.19359859838715,777.8565661710995,Hold
2025-07-30,506.02905273437483,326.7828723270691,783.5949307494888,Hold
